condition,T8_mean,T8_median,T8_max,T8_min,T8_ptp,T8_std,T8_skew,T8_auc,T8_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis
Fam,-11.519338003678898,-11.55838072008919,0.8749028097554401,-33.549404179211706,34.424306988967146,8.570328809479516,-0.5187250127351289,-1.1244802893874788,2.9694882281404267,7.350108823390455,7.861119684093865,18.897246263804846,-0.6406332886399468,19.537879552444792,4.7468817695865555,0.6027974782968814,0.7019275708775959,3.519298589084707,-18.335860536703528,-19.61369525815826,-5.217921625444433,-26.691397579270415,21.473475953825982,6.530032096994172,0.9441028151196037,-1.8324632387213708,2.761811449673459,14.647158453639209,14.22520108462777,33.91951395315118,-3.2076707157102646,37.127184668861446,11.617736161061023,0.19015794031090338,1.5215596913168767,1.6849822436415898,12.112659253314352,11.635552709776675,16.934427549131215,6.761375516362023,10.173052032769192,2.8741554187862524,0.0813492568168322,1.2148868691327377,2.038881258256099
Fam,13.981445015623159,11.77383637696039,33.712185540935025,-2.16556986742944,35.877755408364465,11.510495799491883,0.2929619664314502,1.403374988991251,1.7632923145850208,14.315650358954512,14.39189236407401,43.584983359323815,-11.272154551988933,54.85713791131275,17.76307438185216,0.34398496132401135,1.406312847110933,1.9854996570710826,-8.04477550367175,-12.183078069938347,60.040307289455086,-44.53566361917183,104.57597090862691,30.12197913086868,0.7318324555964217,-0.8642091033091915,2.7664043573704147,-94.68230914185719,-105.33988461247645,-60.12942685629241,-125.99799083545804,65.86856397916563,23.257787645925152,0.25365639941135887,-9.473996059282634,1.291978652475515,26.47843610667713,27.394085009291302,34.242904803249985,17.58168582455255,16.661218978697434,5.159451369180492,-0.3527486945630394,2.667880132404783,2.057298026593485
Unf,-16.881490357543672,-15.831858036108315,-3.253647719247965,-36.624984204536304,33.37133648528834,8.38128860562387,-0.7913759057244536,-1.7115366111997774,3.4216919428115973,-83.22138959416546,-79.09627311164513,-61.18630699347705,-121.95435556350276,60.76804857002571,15.856189556591113,-1.258445757707751,-8.364936348586067,3.835561986050473,-25.1314646587931,-24.565196326875594,-17.078060409403406,-34.15670289541595,17.07864248601254,5.0613389006609815,-0.26287504572515624,-2.493803592923327,1.7359928871972674,186.9584218813823,173.59931371174753,275.93993581831455,137.5240826746449,138.41585314366966,35.65188788988,1.2350348104290172,18.788446079516614,3.8265545398393486,-52.506513104442725,-52.37291406956501,-42.542094888631254,-61.86361133586615,19.3215164472349,4.636931039025733,0.33844600935684016,-5.220123760326138,3.2209653802965277
Fam,-20.86120144895176,-13.489209777617361,20.29526513069868,-74.6128789614886,94.90814409218729,28.46708209558145,-0.3953962180763321,-2.0377620876931912,1.9454999683319905,-25.030171505372543,-25.929467483365443,-12.54167545994278,-34.11257057450712,21.570895114564337,5.594926684636881,0.3005769782494792,-2.5336989150006892,2.480037285086074,-20.437290948813406,-20.791215320059564,-14.80871742387535,-26.20011036924552,11.391392945370171,2.960161213016796,0.07396945890574702,-2.0389914106456115,2.3741062901418077,117.20290408098103,110.88818428106606,185.83543715067208,39.73109778598882,146.10433936468326,46.24886050829464,-0.018558927514776793,11.691204137996719,1.4695770774751435,-23.460534521291265,-22.05235796282068,-6.562014732480748,-53.09013431542553,46.52811958294478,15.091207799311384,-0.5056622316929685,-2.3099148837940287,1.8233423392221564
Unf,4.041008369225752,3.8409061744459905,14.537330571329221,-5.387751571106492,19.925082142435713,5.13804974431988,0.3306319534423915,0.4098177824577518,2.784003480617156,19.186108943358704,16.224593309743796,36.5700907423161,1.1544311746547464,35.41565956766135,10.837160431924996,0.22193712702392027,1.9234244245311116,1.7651178703706234,-21.94881944188427,-22.45172709081089,-13.278428014018573,-27.48757651716005,14.209148503141478,4.55166316964952,0.4209120873922288,-2.1674723029718734,1.8527477989880248,-23.451035933528775,-21.08426997438073,3.694414999699802,-44.48615072760731,48.18056572730711,13.57378099652606,0.029758719098314103,-2.3524861036996327,2.0634074654758243,15.868958856712057,13.367510746320477,28.3527078863699,1.0386496569481096,27.31405822942179,7.445214508332154,0.3156698924070616,1.585474431031034,2.103003393797648
Unf,-3.4404321358312453,-4.611898475559428,8.181822522601578,-13.527839655580465,21.709662178182043,6.975677924247611,0.250506137977352,-0.37683241847879656,1.8473144855878512,-5.1584225957412855,-3.7219634805296664,1.1798847481259145,-17.655132978688926,18.83501772681484,5.294908863958554,-1.165688254943534,-0.5286427316862381,3.408601508059517,-25.803570679272525,-26.426713702676352,-16.632731785648502,-30.868974135955796,14.236242350307293,4.275676714595284,0.5808178747760432,-2.58706915476967,2.3479563443717657,42.609512722545055,45.30732621788047,56.06237391475588,25.79252395662479,30.26984995813109,9.507567078239521,-0.4443548829483644,4.30491666727077,1.815830529910732,-2.782585000125583,-0.5947674992512475,6.123750608821865,-13.645078070112504,19.76882867893437,5.616846875832821,-0.4233619523916155,-0.27483490394166304,2.2664348440350195
Fam,-3.844985254904014,-4.728495696326718,16.147138012456708,-28.32671452779323,44.473852540249936,12.462175764545469,-0.24197292481335922,-0.3886856702312102,2.562458010585467,-12.036461017627376,-11.003800864273217,-3.372654646227602,-26.111114493687637,22.738459847460035,4.953422468957403,-0.6683466957513147,-1.1610342638112099,4.002271684263252,-9.893405573480917,-10.08766867016675,-1.7142039041573298,-18.04352541512344,16.32932151096611,4.759239082075438,-0.019135528140336054,-0.9865471748884758,1.972701588612227,32.69459214677157,33.783342587412335,43.509353417903185,16.851965483510867,26.657387934392318,7.475883092233666,-0.6007564740896005,3.2664491488659513,2.3551920672662123,-7.211450736668632,-7.434592134814011,0.03735668485660426,-12.623123438970651,12.660480123827256,3.2711112604468866,0.4711461742804385,-0.716361425198299,2.90151167079563
Unf,-0.13404622642645755,0.6855326546428842,8.596782208769582,-10.99512792279711,19.591910131566692,5.840941300295071,-0.2018503950832781,0.002569089723605776,1.9420067088938062,-15.391179711234425,-16.351344129361678,-6.65151719658752,-19.806104319286533,13.154587122699013,3.666864785259176,0.8337378342589565,-1.532660989761348,2.8756080163671953,-25.863920235189234,-28.43017591658281,-10.270186976413243,-32.9219110426493,22.651724066236056,6.415741884278286,1.3836632449492972,-2.6199639892346824,3.9812796365558207,50.65641016699374,52.288487495388836,59.60187627351843,41.08736538910307,18.51451088441536,5.23691921213125,-0.31308950858100454,5.013476932860551,2.0320245862987663,-2.0776929917386813,-1.8171609212913609,9.278055586037226,-17.558963008923456,26.837018594960682,8.780678366653918,-0.42697453527194457,-0.19824131434605413,1.9277720631752358
Fam,-4.146784970105754,-3.9274365235542064,13.189793207857292,-19.406157662160695,32.59595087001799,8.225605647650392,0.13849827028613246,-0.3764782772560308,2.698285158828689,15.444564601588914,14.220999219105579,34.49678479228169,3.036431280634133,31.460353511647554,7.741501843559103,0.9993557206993493,1.5069609885195603,3.872467637849017,-15.112170591289843,-12.000289189018076,-0.5046650244366901,-32.069601729745045,31.564936705308355,9.336283963460513,-0.45047600337933363,-1.4825439633970956,1.9716353630293428,1.723018411981824,-1.9779309354817087,19.272270947112702,-13.531262993637938,32.80353394075064,9.121294957337486,0.27717590450979773,0.1150331806649006,1.969405701589839,2.4307236434249435,1.7507896359347797,9.530723218631465,-3.440465206949739,12.971188425581204,4.013043983420405,0.30223989225077713,0.2564455389502941,1.9451998784874833
Fam,-3.660814465652388,-2.36666835462529,9.513373697700445,-19.390630768612027,28.904004466312472,7.7826393483023395,-0.5118765539915846,-0.3826546612817692,2.370250985603894,-10.748006619547386,-12.899267858301755,0.2660626989836601,-16.46506461838726,16.73112731737092,4.813391103473297,1.024774720605599,-1.0714279201682118,2.9417858476655656,-17.01344241994845,-14.918331544322427,-5.755483471148182,-29.78538213938009,24.02989866823191,7.757151748004562,-0.1869097109104707,-1.6865386266338565,1.4743561333062147,41.545121768229784,38.43500599032268,60.76141289668158,31.42599598504603,29.335416911635548,8.655638758068173,1.217917875805176,4.0987386354068995,3.21359760602191,-9.44513705620081,-9.285166015615687,-3.1906060939945746,-14.604468560719397,11.413862466724822,2.895683097475283,-0.018204278500377445,-0.953336086740638,2.335288926920167
